instance;approach;class;graph_density;link_capacity_ratio;prob_sharing_NFS;Objective_value;number_NFSs;dis_NFS;cent_NFS;number_nodes;number_active_node;proportion_active_node;total_nodes_capacity;total_load_node;av_node_load);most_loaded_node;number_of_arcs;number_active_links;propotyion_number_active_links;total_arc_capacity;total_arc_load;av_link_load;most_loaded_arc;avr_lat
1;MILP; tiny_tight_low_strong;0.1;tight;0.1;102.63000000000002;7.0;0.0;7.0;10;2;0.2;112.0;0.125;0.4375;0.5;18;7;0.3888888888888889;414.7999999999999;0.2439616984088718;0.6325997235751297;0.8560855263157896;0.18312500000000004
1;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;102.6;7.0;0.0;7.0;10;2;0.2;112.0;0.125;0.4375;0.5;18;7;0.3888888888888889;414.7999999999999;0.2439616984088718;0.6325997235751295;0.8560855263157895;0.183125
2;MILP; tiny_tight_low_strong;0.1;tight;0.1;126.15;9.0;0.0;9.0;10;2;0.2;112.0;0.11607142857142858;0.40625;0.5625;20;7;0.35;419.3999999999999;0.20788626609442065;0.5655337915981286;0.7542171280276817;0.365625
2;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;126.1;9.0;0.0;9.0;10;2;0.2;112.0;0.11607142857142858;0.40625;0.75;20;8;0.4;419.3999999999999;0.17439519330098852;0.4306425401321274;0.9073638916015625;0.301875
3;MILP; tiny_tight_low_strong;0.1;tight;0.1;116.28;9.0;0.0;9.0;10;2;0.2;112.0;0.08035714285714286;0.28125;0.3125;30;14;0.4666666666666667;714.0000000000001;0.3126900533334213;0.6303062339496559;0.8254894578313252;0.4781249999999999
3;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;116.25;9.0;0.0;9.0;10;2;0.2;112.0;0.08035714285714286;0.28125;0.3125;30;19;0.6333333333333333;714.0000000000001;0.4206713935574229;0.7141026886607561;0.9172603626943004;0.82375
4;MILP; tiny_tight_low_strong;0.1;tight;0.1;205.32;16.0;0.0;16.0;10;2;0.2;112.0;0.16071428571428573;0.5625;0.5625;18;8;0.4444444444444444;416.4000000000001;0.31193713976945237;0.7007594122435289;0.8642399267399267;0.35124999999999995
4;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;208.9;16.0;0.0;16.0;10;2;0.2;112.0;0.16071428571428573;0.5625;0.5625;18;5;0.2777777777777778;416.4000000000001;0.1986146133525456;0.6707935448298963;0.8456276824034334;0.17375000000000002
5;MILP; tiny_tight_low_strong;0.1;tight;0.1;102.61999999999998;7.999999999999998;0.0;7.999999999999998;10;2;0.2;112.0;0.12499999999999997;0.4374999999999999;0.5625;20;8;0.4;505.4;0.29721198555599526;0.8040892877238683;0.9685019841269842;0.32812500000000006
5;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;101.94;8.0;2.0;6.0;10;3;0.3;112.0;0.125;0.2916666666666667;0.5625;20;7;0.35;505.4;0.18496651044701418;0.49148645599388935;0.9685019841269842;0.125625
6;MILP; tiny_tight_low_strong;0.1;tight;0.1;117.20999999999998;8.999999999999998;5.999999999999998;2.999999999999999;10;5;0.5;112.0;0.125;0.175;0.375;24;9;0.375;561.8;0.21271620941739272;0.5405554183126687;0.8484887295081968;0.22749999999999995
6;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;117.44;9.0;3.0;6.0;10;5;0.5;112.0;0.125;0.175;0.25;24;11;0.4583333333333333;561.8;0.2943351943325683;0.5997351287515419;0.8484887295081968;0.260625
7;MILP; tiny_tight_low_strong;0.1;tight;0.1;122.12999999999998;9.0;1.9999999999999996;7.0;10;5;0.5;112.0;0.10714285714285714;0.15;0.24999999999999994;24;11;0.4583333333333333;531.4;0.2795858227493263;0.5980833562809026;0.9644717261904762;0.2790625
7;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;122.1;9.0;3.0;6.0;10;4;0.4;112.0;0.10714285714285714;0.1875;0.3125;24;10;0.4166666666666667;531.4;0.21604768553307777;0.4902757502852923;0.9644717261904762;0.24375000000000002
8;MILP; tiny_tight_low_strong;0.1;tight;0.1;128.93999999999983;9.999999999999986;0.0;9.999999999999986;10;2;0.2;112.0;0.12499999999999982;0.43749999999999944;0.625;24;10;0.4166666666666667;592.6;0.25744600067499124;0.6234904959571379;0.7497258771929824;0.39062499999999956
8;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;129.0;10.0;4.0;6.0;10;5;0.5;112.0;0.125;0.175;0.25;24;13;0.5416666666666666;592.6;0.16003707032166659;0.3005811238319755;0.7373696257328165;0.14125
9;MILP; tiny_tight_low_strong;0.1;tight;0.1;71.6;6.0;4.0;2.0;10;4;0.4;112.0;0.07142857142857142;0.125;0.1875;18;11;0.6111111111111112;451.6;0.20501721581069635;0.37246399226158994;0.7541899441340782;0.271875
9;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;69.8;6.0;2.0;4.0;10;3;0.3;112.0;0.07142857142857142;0.16666666666666666;0.25;18;11;0.6111111111111112;451.6;0.2661004134571795;0.4854922834117856;0.7541899441340782;0.31187499999999996
10;MILP; tiny_tight_low_strong;0.1;tight;0.1;111.0;8.0;0.0;8.0;10;2;0.2;112.0;0.125;0.4375;0.4375;22;6;0.2727272727272727;483.19999999999993;0.1725799358443709;0.7178294393847081;0.9144176136363635;0.23625
10;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;108.9;8.0;0.0;8.0;10;2;0.2;112.0;0.125;0.4375;0.4375;22;12;0.5454545454545454;483.19999999999993;0.3451598716887418;0.6835346267676918;0.9813262195121952;0.495
11;MILP; tiny_tight_low_strong;0.1;tight;0.1;148.04000000000002;12.0;0.0;12.0;10;2;0.2;112.0;0.14285714285714285;0.5;0.5;18;6;0.3333333333333333;450.8000000000001;0.24605728666022902;0.7498159250097892;0.8609605675575717;0.213125
11;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;148.0;12.0;0.0;12.0;10;2;0.2;112.0;0.14285714285714285;0.5;0.5;18;6;0.3333333333333333;450.8000000000001;0.20855285048802125;0.6552577604324332;0.7891341743119266;0.213125
12;MILP; tiny_tight_low_strong;0.1;tight;0.1;123.56999999999998;11.0;3.0;8.0;10;3;0.3;112.0;0.125;0.29166666666666663;0.375;32;8;0.25;727.6;0.18938547965915337;0.7357814845987019;0.9920058139534883;0.27875
12;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;124.0;11.0;0.0;11.0;10;2;0.2;112.0;0.125;0.4375;0.4375;32;10;0.3125;727.6;0.23970072842221;0.7522229905219919;0.9920058139534883;0.328125
13;MILP; tiny_tight_low_strong;0.1;tight;0.1;133.48;11.0;0.0;11.0;10;2;0.2;112.0;0.13392857142857142;0.46875;0.625;26;12;0.46153846153846156;591.4;0.32787664863036864;0.7230007280527704;0.948975988700565;0.41500000000000004
13;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;133.5;11.0;0.0;11.0;10;2;0.2;112.0;0.13392857142857142;0.46875;0.625;26;17;0.6538461538461539;591.4;0.46433780013527226;0.7284317697651459;0.8982286096256685;0.556875
14;MILP; tiny_tight_low_strong;0.1;tight;0.1;108.57999999999998;8.0;0.0;8.0;10;2;0.2;112.0;0.14285714285714285;0.49999999999999994;0.625;24;8;0.3333333333333333;530.6;0.1824204255803953;0.5554183988545364;0.8556189903846153;0.22874999999999998
14;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;108.56;8.0;0.0;8.0;10;3;0.3;112.0;0.14285714285714285;0.3333333333333333;0.625;24;10;0.4166666666666667;530.6;0.25519459102902375;0.6234309177099182;0.9033946700507615;0.41093749999999996
15;MILP; tiny_tight_low_strong;0.1;tight;0.1;84.69;6.999999999999999;4.0;2.9999999999999996;10;3;0.3;112.0;0.08035714285714286;0.1875;0.375;26;9;0.34615384615384615;571.4;0.12805621941939993;0.37402232413399394;0.6487165178571428;0.23062499999999997
15;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;84.7;7.0;4.0;3.0;10;3;0.3;112.0;0.08035714285714286;0.1875;0.375;26;10;0.38461538461538464;571.4;0.16620265799132852;0.4048402664786794;0.6891910628517075;0.293125
16;MILP; tiny_tight_low_strong;0.1;tight;0.1;135.30999999999997;10.999999999999996;4.0;6.999999999999997;10;4;0.4;112.0;0.11607142857142852;0.20312499999999994;0.25;20;11;0.55;448.59999999999997;0.27090947050310593;0.5126951311304883;0.979649914089347;0.3424999999999999
16;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;135.2;11.0;0.0;11.0;10;3;0.3;112.0;0.11607142857142858;0.2708333333333333;0.5;20;8;0.4;448.59999999999997;0.2789407322781989;0.7501188147413305;0.979649914089347;0.39937500000000004
17;MILP; tiny_tight_low_strong;0.1;tight;0.1;127.88;10.0;0.0;10.0;10;2;0.2;112.0;0.10714285714285714;0.375;0.4375;22;9;0.4090909090909091;510.6;0.22621976596161378;0.5041777474996381;0.8619986007462687;0.26749999999999996
17;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;126.7;10.0;0.0;10.0;10;2;0.2;112.0;0.10714285714285714;0.375;0.625;22;10;0.45454545454545453;510.6;0.30139757005831236;0.6299100711612513;0.9591245354458504;0.295
18;MILP; tiny_tight_low_strong;0.1;tight;0.1;144.46999999999997;11.0;3.999999999999999;7.0;10;4;0.4;112.0;0.09821428571428571;0.171875;0.25;22;11;0.5;462.59999999999997;0.3046997862361079;0.6072754213041152;0.9696892386155503;0.31375
18;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;143.5;11.0;2.0;9.0;10;3;0.3;112.0;0.09821428571428571;0.22916666666666666;0.3125;22;12;0.5454545454545454;462.59999999999997;0.3110255646953014;0.5676947230037785;0.9353790538651603;0.31375000000000003
19;MILP; tiny_tight_low_strong;0.1;tight;0.1;154.87999999999997;10.999999999999998;0.0;10.999999999999998;10;3;0.3;112.0;0.15178571428571427;0.3541666666666667;0.75;20;8;0.4;473.6;0.25350548855557636;0.5426255651157234;0.9636363636363636;0.2
19;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;152.1;11.0;0.0;11.0;10;3;0.3;112.0;0.15178571428571427;0.3541666666666667;0.75;20;10;0.5;473.6;0.3037522685386844;0.5353872517128393;0.9636363636363636;0.29625
20;MILP; tiny_tight_low_strong;0.1;tight;0.1;172.14;14.0;0.0;14.0;10;2;0.2;112.0;0.16964285714285715;0.59375;0.6875;20;9;0.45;495.6;0.29279534907183213;0.6307516616670137;0.9536917098445595;0.30625
20;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;172.5;14.0;0.0;14.0;10;2;0.2;112.0;0.16964285714285715;0.59375;0.6875;20;7;0.35;495.6;0.24339184826472962;0.6783539226343479;0.8180555555555555;0.2525
21;MILP; tiny_tight_low_strong;0.1;tight;0.1;113.84999999999998;9.0;0.0;9.0;10;2;0.2;112.0;0.16071428571428573;0.5625;0.7499999999999999;26;9;0.34615384615384615;622.1999999999998;0.2657154050144649;0.761866889630253;0.9141685520361991;0.36874999999999997
21;Heuristic;tiny_tight_low_strong;0.1;tight;0.1;113.9;9.0;0.0;9.0;10;3;0.3;112.0;0.16071428571428573;0.375;0.625;26;19;0.7307692307692307;622.1999999999998;0.44009748320608666;0.6134204041066871;0.9141685520361991;0.48124999999999996
22;MILP; tiny_tight_low_strong;0.1;tight;0.1;154.82;13.0;0.0;13.0;10;2;0.2;112.0;0.1875;0.65625;0.6875;22;9;0.4090909090909091;539.0;0.33986549165120594;0.8155266043440133;0.9782608695652175;0.33624999999999994
