instance;approach;arc;arc_type;class;graph_density;link_capacity_ratio;charge_arc;prob_sharing_NFS
1;MILP;1;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.8560855263157896;0.1
1;MILP;5;fronthaul;tiny_tight_low_strong;0.1;tight;0.5225345477386935;0.1
1;MILP;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.5932203389830509;0.1
1;MILP;9;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;11;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.7;0.1
1;MILP;15;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;12;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.36485745614035087;0.1
1;MILP;17;backhaul;tiny_tight_low_strong;0.1;tight;0.7608695652173914;0.1
1;MILP;18;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;10;backhaul;tiny_tight_low_strong;0.1;tight;0.6306306306306309;0.1
1;MILP;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;6;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;16;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;1;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.8560855263157895;0.1
1;Heuristic;5;fronthaul;tiny_tight_low_strong;0.1;tight;0.5225345477386935;0.1
1;Heuristic;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.5932203389830508;0.1
1;Heuristic;9;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;11;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.7;0.1
1;Heuristic;15;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;12;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.36485745614035087;0.1
1;Heuristic;17;backhaul;tiny_tight_low_strong;0.1;tight;0.7608695652173914;0.1
1;Heuristic;18;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;10;backhaul;tiny_tight_low_strong;0.1;tight;0.6306306306306306;0.1
1;Heuristic;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;6;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;16;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;1;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.3908953287197232;0.1
2;MILP;5;backhaul;tiny_tight_low_strong;0.1;tight;0.6818181818181818;0.1
2;MILP;7;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;9;backhaul;tiny_tight_low_strong;0.1;tight;0.44303797468354433;0.1
2;MILP;11;fronthaul;tiny_tight_low_strong;0.1;tight;0.697337962962963;0.1
2;MILP;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;15;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;17;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;19;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;12;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.7542171280276817;0.1
2;MILP;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.5483919902912621;0.1
2;MILP;6;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;10;backhaul;tiny_tight_low_strong;0.1;tight;0.44303797468354433;0.1
2;MILP;16;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;18;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;8;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;20;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;1;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.3908953287197232;0.1
2;Heuristic;5;backhaul;tiny_tight_low_strong;0.1;tight;0.9073638916015625;0.1
2;Heuristic;7;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;9;backhaul;tiny_tight_low_strong;0.1;tight;0.00014844323009378298;0.1
2;Heuristic;11;fronthaul;tiny_tight_low_strong;0.1;tight;0.697337962962963;0.1
2;Heuristic;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;15;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;17;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;19;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;12;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.7542171280276817;0.1
2;Heuristic;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.5483919902912621;0.1
2;Heuristic;6;backhaul;tiny_tight_low_strong;0.1;tight;0.00022844834761186078;0.1
2;Heuristic;10;backhaul;tiny_tight_low_strong;0.1;tight;0.1465571278761208;0.1
2;Heuristic;16;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;18;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;8;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;20;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;1;fronthaul;tiny_tight_low_strong;0.1;tight;0.7858946979769811;0.1
3;MILP;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;5;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;9;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.7858946979769811;0.1
3;MILP;11;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.6001059322033898;0.1
3;MILP;15;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.6090277777777777;0.1
3;MILP;17;fronthaul;tiny_tight_low_strong;0.1;tight;0.6630383895131087;0.1
3;MILP;19;fronthaul;tiny_tight_low_strong;0.1;tight;0.5311288759689923;0.1
3;MILP;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.6001059322033898;0.1
3;MILP;21;fronthaul;tiny_tight_low_strong;0.1;tight;0.6104525862068966;0.1
3;MILP;23;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;18;fronthaul;tiny_tight_low_strong;0.1;tight;0.5132256554307116;0.1
3;MILP;25;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;10;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;20;fronthaul;tiny_tight_low_strong;0.1;tight;0.6861676356589147;0.1
3;MILP;22;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;27;backhaul;tiny_tight_low_strong;0.1;tight;0.48592641843971635;0.1
3;MILP;6;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;16;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;29;backhaul;tiny_tight_low_strong;0.1;tight;0.5639146090534979;0.1
3;MILP;12;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;24;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;26;backhaul;tiny_tight_low_strong;0.1;tight;0.8254894578313252;0.1
3;MILP;28;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;30;backhaul;tiny_tight_low_strong;0.1;tight;0.5639146090534979;0.1
3;Heuristic;1;fronthaul;tiny_tight_low_strong;0.1;tight;0.5547823886639677;0.1
3;Heuristic;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.7376302083333334;0.1
3;Heuristic;5;fronthaul;tiny_tight_low_strong;0.1;tight;0.7345695020746887;0.1
3;Heuristic;7;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;9;backhaul;tiny_tight_low_strong;0.1;tight;0.9074917218543047;0.1
3;Heuristic;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.7167257085020243;0.1
3;Heuristic;11;backhaul;tiny_tight_low_strong;0.1;tight;0.49649003623188404;0.1
3;Heuristic;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;15;backhaul;tiny_tight_low_strong;0.1;tight;0.9172603626943004;0.1
3;Heuristic;8;fronthaul;tiny_tight_low_strong;0.1;tight;0.6090277777777777;0.1
3;Heuristic;17;fronthaul;tiny_tight_low_strong;0.1;tight;0.6630383895131087;0.1
3;Heuristic;19;fronthaul;tiny_tight_low_strong;0.1;tight;0.5311288759689923;0.1
3;Heuristic;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;21;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;23;fronthaul;tiny_tight_low_strong;0.1;tight;0.903220663265306;0.1
3;Heuristic;18;fronthaul;tiny_tight_low_strong;0.1;tight;0.5132256554307116;0.1
3;Heuristic;25;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.5709635416666666;0.1
3;Heuristic;10;backhaul;tiny_tight_low_strong;0.1;tight;0.9074917218543047;0.1
3;Heuristic;20;fronthaul;tiny_tight_low_strong;0.1;tight;0.6861676356589147;0.1
3;Heuristic;22;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;27;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;6;fronthaul;tiny_tight_low_strong;0.1;tight;0.7345695020746887;0.1
3;Heuristic;16;backhaul;tiny_tight_low_strong;0.1;tight;0.9172603626943004;0.1
3;Heuristic;29;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;12;backhaul;tiny_tight_low_strong;0.1;tight;0.6414175724637681;0.1
3;Heuristic;24;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;26;backhaul;tiny_tight_low_strong;0.1;tight;0.8254894578313252;0.1
3;Heuristic;28;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;30;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;1;backhaul;tiny_tight_low_strong;0.1;tight;0.8243985355648537;0.1
4;MILP;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
