instance;approach;node;node_type;class;graph_density;link_capacity_ratio;charge_node;prob_sharing_NFS
1;MILP;1;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;2;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;3;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;4;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;5;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;6;non_access;tiny_tight_low_strong;0.1;tight;0.5;0.1
1;MILP;7;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;8;non_access;tiny_tight_low_strong;0.1;tight;0.37500000000000006;0.1
1;MILP;9;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;MILP;10;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;1;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;2;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;3;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;4;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;5;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;6;non_access;tiny_tight_low_strong;0.1;tight;0.5;0.1
1;Heuristic;7;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;8;non_access;tiny_tight_low_strong;0.1;tight;0.375;0.1
1;Heuristic;9;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
1;Heuristic;10;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;1;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;2;non_access;tiny_tight_low_strong;0.1;tight;0.5625;0.1
2;MILP;3;non_access;tiny_tight_low_strong;0.1;tight;0.25;0.1
2;MILP;4;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;5;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;6;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;7;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;8;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;9;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;MILP;10;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;1;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;2;non_access;tiny_tight_low_strong;0.1;tight;0.75;0.1
2;Heuristic;3;non_access;tiny_tight_low_strong;0.1;tight;0.0625;0.1
2;Heuristic;4;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;5;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;6;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;7;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;8;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;9;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
2;Heuristic;10;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;1;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;2;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;3;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;4;non_access;tiny_tight_low_strong;0.1;tight;0.3125;0.1
3;MILP;5;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;6;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;7;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;8;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;9;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;MILP;10;non_access;tiny_tight_low_strong;0.1;tight;0.25;0.1
3;Heuristic;1;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;2;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;3;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;4;non_access;tiny_tight_low_strong;0.1;tight;0.3125;0.1
3;Heuristic;5;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;6;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;7;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;8;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;9;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
3;Heuristic;10;non_access;tiny_tight_low_strong;0.1;tight;0.25;0.1
4;MILP;1;non_access;tiny_tight_low_strong;0.1;tight;0.5625;0.1
4;MILP;2;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;3;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;4;non_access;tiny_tight_low_strong;0.1;tight;0.5624999999999999;0.1
4;MILP;5;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;6;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;7;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;8;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;9;non_access;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;MILP;10;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;1;non_access;tiny_tight_low_strong;0.1;tight;0.5625;0.1
4;Heuristic;2;app;tiny_tight_low_strong;0.1;tight;0.0;0.1
4;Heuristic;3;access;tiny_tight_low_strong;0.1;tight;0.0;0.1
